A0A087WZU1	phosphatidylinositol_phosphatase_ptprq
A0A0B4J269	g_protein_recep_f1_2_domain-containing_protein
A0A0G2JJL1	wd_repeat-containing_protein_46
A0A0S2Z547	rho_guanine_nucleotide_exchange_factor_15_isoform_1
A0A142I5B9	capsid_protein
A0A142I5B9	capsid_protein_c
A0A142I5B9	core_protein
A0A142I5B9	envelope_protein_e
A0A142I5B9	flavivirin_protease_ns2b_regulatory_subunit
A0A142I5B9	flavivirin_protease_ns3_catalytic_subunit
A0A142I5B9	genome_polyprotein
A0A142I5B9	matrix_protein
A0A142I5B9	non-structural_protein_1
A0A142I5B9	non-structural_protein_2a
A0A142I5B9	non-structural_protein_2b
A0A142I5B9	non-structural_protein_3
A0A142I5B9	non-structural_protein_4a
A0A142I5B9	non-structural_protein_4b
A0A142I5B9	ns5
A0A142I5B9	peptide_2k
A0A142I5B9	peptide_pr
A0A142I5B9	peptide_precursor
A0A142I5B9	precursor_membrane_protein
A0A142I5B9	protein_prm
A0A142I5B9	rna-directed_rna_polymerase_ns5
A0A142I5B9	serine_protease_ns3
A0A142I5B9	serine_protease_subunit_ns2b
A0A142I5B9	small_envelope_protein_m
A1X283	adapter_protein_hofi
A1X283	factor_for_adipocyte_differentiation_49
A1X283	sh3_and_px_domain-containing_protein_2b
A1X283	tyrosine_kinase_substrate_with_four_sh3_domains
A1YPR0	affected_by_papillomavirus_dna_integration_in_me18zinc_finger_and_btb_domain-containing_protein_36
A1YPR0	zinc_finger_and_btb_domain-containing_protein_36
A1YPR0	zinc_finger_and_btb_domain-containing_protein_7c
A1YPR0	zinc_finger_protein_857c
A1Z1Q3	adp-ribose_glycohydrolase_macrod2
A1Z1Q3	macro_domain-containing_protein_2
A1Z1Q3	o-acetyl-adp-ribose_deacetylase_macrod2
A1Z1Q3	[protein_adp-ribosylaspartate]_hydrolase_macrod2
A1Z1Q3	[protein_adp-ribosylglutamate]_hydrolase_macrod2
A2A935	histone-lysine_n-methyltransferase_prdm16
A2A935	pr_domain-containing_protein_16
A2A935	pr_domain_zinc_finger_protein_16
A2A935	transcription_factor_mel1
A2AIV8	caspase_recruitment_domain-containing_protein_9
A2RRL7	transmembrane_protein_213
A2RTX5	threonine--trna_ligase_2,_cytoplasmic
A2RTX5	threonyl-trna_synthetase
A2RTX5	threonyl-trna_synthetase_protein_3
A2RU30	protein_tespa1
A2RU30	thymocyte-expressed_positive_selection-associated_protein_1
A5YKK6	ccr4-associated_factor_1
A5YKK6	ccr4-not_transcription_complex_subunit_1
A5YKK6	negative_regulator_of_transcription_subunit_1_homolog
A5YM69	rho_guanine_nucleotide_exchange_factor_35
A5YM69	rho_guanine_nucleotide_exchange_factor_5-like_protein
A6NFQ2	trp_channel-associated_factor_2
A6NFQ2	trpm8_channel-associated_factor_2
A6NGB9	corticosteroids_and_regional_expression_protein_16_homolog
A6NGB9	was/wasl-interacting_protein_family_member_3
A6NHC0	calpain-8
A6NHC0	new_calpain_2
A6NHC0	stomach-specific_m-type_calpain
A6NHR9	structural_maintenance_of_chromosomes_flexible_hinge_domain-containing_protein_1
A6NK89	ras_association_domain-containing_protein_10
A6NKD9	coiled-coil_domain-containing_protein_85c
A6NMY6	annexin_a2_pseudogene_2
A6NMY6	lipocortin_ii_pseudogene
A6NMY6	putative_annexin_a2-like_protein
A8K1F4	cdna_flj78094,_highly_similar_to_homo_sapiens_myeloid_leukemia_factor_2,_mrna
A8K8P3	protein_sfi1_homolog
A8MPP1	dead/h_box_protein_11-like_8
A8MPP1	putative_atp-dependent_rna_helicase_ddx11-like_prodead/h_box_protein_11-like_8
A8MYZ6	forkhead_box_protein_o6
A9UF07	bcr/abl_fusion_protein_isoform_y5
B1ALK7	rho_guanine_nucleotide_exchange_factor_7
B3XYC5	chitin-binding_lectin
B5MCU0	r3h_domain-containing_protein_2
B5Z6S0	cytotoxin-associated_protein_a
B7Z5R0	cdna_flj54920,_moderately_similar_to_homo_sapiens_zinc_finger_protein_689_(znf689),_mrna
B7Z5R0	krab_domain-containing_protein_znf747
B8PZP6	v_protein
C3PTT6	pancreatic_adenocarcinoma_upregulated_factor
C5E524	non-structural_protein_1
C5E526	polymerase_basic_protein_1
C5E526	rna-directed_rna_polymerase_catalytic_subunit
C5E526	rna-directed_rna_polymerase_subunit_p1
C9J7I0	rpa3_antisense_rna_1
C9J7I0	rpa3_opposite_strand
C9J7I0	ubap1-mvb12-associated_(uma)-domain_containing_prorpa3_antisense_rna_1
D1LN35	non-structural_protein_1
D3DR86	nuclear_factor_of_kappa_light_polypeptide_gene_enhancer_in_b-cells_2_(p49/p100),_isoform_cra_c
E7EPI0	inhibitor_of_bruton_tyrosine_kinase
E7EQR4	ezrin
E9PHY8	maestro_heat-like_repeat-containing_protein_family_member_1
E9PUA5	kinesin-like_protein
E9PWH2	caspase_recruitment_domain_family,_member_6
E9Q309	centrosome-associated_protein_350
E9Q5G3	kinesin-like_protein_kif23
F5H1C8	solute_carrier_family_15_member_3
F5H1C8	solute_carrier_family_15,_member_3,_isoform_cra_a
F8VQC1	signal_recognition_particle_subunit_srp72
F8W881	constitutive_coactivator_of_ppar-gamma-like_protein_2
H0Y9L7	transcription_initiation_factor_tfiid_subunit_1
H0YHG0	uncharacterized_protein
H2A1D8	m84_protein
H3BS89	transmembrane_protein_178b
